"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","entrez_id"
"653635",516.51126245313,0.0933969064718276,0.199903870012816,0.467209096381375,0.640350286216892,0.999955625236915,"WASH7P","653635"
"729737",439.14010740901,-0.300786759498828,0.19201780031052,-1.56645247999099,0.117242725136329,0.999955625236915,"LOC729737","729737"
"102723897",577.177100876175,0.085340327952888,0.206469386820303,0.4133316288054,0.679363659783563,0.999955625236915,"WASH9P","102723897"
"100132287",130.159490688585,-0.0494758225890859,0.235646277877085,-0.209958005850162,0.833700448931387,0.999955625236915,"LOC100132287","100132287"
"102465432",244.395371864824,-0.247474327171576,0.214052087138315,-1.15614068743775,0.247623615856091,0.999955625236915,NA,"102465432"
"100133331",136.370519365851,0.0671795190000077,0.202612986128694,0.331565711969406,0.740217214099772,0.999955625236915,NA,"100133331"
"100288069",23.6145091217366,-0.171546788868396,0.379256847231473,-0.452323511416249,0.651035940621131,0.999955625236915,"LOC100288069","100288069"
"79854",41.1146358973853,0.459604352533463,0.289068389687245,1.58995022953124,0.111846024165226,0.999955625236915,"LINC00115","79854"
"643837",328.486334082105,0.0361562142065688,0.138460727923508,0.261129742337793,0.793992456093142,0.999955625236915,"LINC01128","643837"
"26155",1533.0461178553,0.0292395983720554,0.142716948129577,0.204878248556071,0.837667249875751,0.999955625236915,"NOC2L","26155"
"339451",534.342482165466,0.173112382799145,0.370284422187624,0.467511924418546,0.640133662715216,0.999955625236915,"KLHL17","339451"
"84069",117.870885027177,-0.147564893299163,0.204509380743446,-0.72155562137407,0.470567732133332,0.999955625236915,"PLEKHN1","84069"
"84808",52.033961074493,-0.339298108775606,0.273234900606117,-1.24178173440853,0.214317103728803,0.999955625236915,"PERM1","84808"
"57801",81.123938427929,0.0508637091138392,0.301374240480139,0.168772583326315,0.865975524273261,0.999955625236915,"HES4","57801"
"9636",1999.6702344494,0.525364133216812,0.327643095042627,1.60346468814934,0.108832099197715,0.999955625236915,"ISG15","9636"
"375790",3638.3326040614,-0.153815857200504,0.166515048957021,-0.923735471141738,0.355624059290097,0.999955625236915,"AGRN","375790"
"105369174",29.5395946075964,0.275542988935407,0.325866043327044,0.84557134619537,0.397791915935771,0.999955625236915,NA,"105369174"
"105378948",12.9515410187554,0.383909727427818,0.523002352705578,0.734049714005662,0.462918439556417,0.999955625236915,"LOC105378948","105378948"
"54991",490.771464685168,0.22845223940062,0.220346936733659,1.03678427659177,0.299836404940523,0.999955625236915,"C1orf159","54991"
"8784",9.65951404313567,-1.07692990191418,0.654563071234205,-1.64526529106444,0.0999151142610417,0.999955625236915,"TNFRSF18","8784"
"51150",1992.61618263223,-0.094116293440361,0.148845048922644,-0.632310541207683,0.527183976846082,0.999955625236915,"SDF4","51150"
"126792",506.702578998323,0.0428191532786952,0.158893476926982,0.269483392942381,0.787557720196953,0.999955625236915,"B3GALT6","126792"
"388581",8.26740840565815,-0.340124385127492,0.704438547320762,-0.482830456142853,0.6292161238439,0.999955625236915,"C1QTNF12","388581"
"118424",855.861595576848,0.0584522458433612,0.184389607358827,0.317004014925914,0.751240555787328,0.999955625236915,"UBE2J2","118424"
"6339",123.455143169848,0.265926019036217,0.303442071710902,0.87636502590706,0.380831625071114,0.999955625236915,"SCNN1D","6339"
"116983",976.229989954044,0.245563439556711,0.221420709835419,1.10903555380722,0.267414844562943,0.999955625236915,"ACAP3","116983"
"126789",287.519810872461,0.135396046127188,0.195538406072248,0.692426868188554,0.488669297574334,0.999955625236915,"PUSL1","126789"
"54973",1729.17549560933,0.200586512757802,0.17436484570761,1.15038390877346,0.249985784697305,0.999955625236915,"INTS11","54973"
"80772",686.610984819754,0.0251070603574317,0.143192052996751,0.175338364329489,0.860813768299313,0.999955625236915,"CPTP","80772"
"83756",16.9426951526459,0.242597601195791,0.466085793954107,0.520499882945753,0.602715209459632,0.999955625236915,"TAS1R3","83756"
"1855",2538.08783453934,0.305879082298026,0.20672416330123,1.4796484233549,0.138967096552231,0.999955625236915,"DVL1","1855"
"54587",1326.30898482003,-0.0883650500631046,0.387497634760018,-0.228040230794777,0.819614964716714,0.999955625236915,"MXRA8","54587"
"54998",1715.24383194246,0.239568121948471,0.339928885564071,0.704759530955823,0.480959897093482,0.999955625236915,"AURKAIP1","54998"
"81669",1717.1408736265,0.0136136365258564,0.202053640845628,0.0673763485225069,0.946282097539337,0.999955625236915,"CCNL2","81669"
"148413",216.412942426985,0.231162957583388,0.21490395828174,1.07565704899829,0.282080663125719,0.999955625236915,"MRPL20-AS1","148413"
"55052",787.433067254104,-0.00866432808070178,0.139702258078401,-0.062019957299755,0.950546938967268,0.999955625236915,"MRPL20","55052"
"64856",59.8739689382213,-0.607011587149788,0.325237662682144,-1.86636314547317,0.0619905757065523,0.886131724203667,"VWA1","64856"
"219293",35.2488973432318,-0.130966100285836,0.298223833376007,-0.439153701443811,0.660550169840656,0.999955625236915,"ATAD3C","219293"
"83858",590.148619228634,0.167630619325175,0.183804961368421,0.912002690662818,0.361767301153357,0.999955625236915,"ATAD3B","83858"
"55210",1062.78816910259,0.0301499445524984,0.170997529490719,0.176318012560145,0.860044111737603,0.999955625236915,"ATAD3A","55210"
"339453",18.490427495369,0.31686214423609,0.508908013236549,0.622631469724583,0.533526726189941,0.999955625236915,"TMEM240","339453"
"29101",2267.92885537593,0.0540286497513947,0.101011714896904,0.534875086583158,0.592736236785741,0.999955625236915,"SSU72","29101"
"643988",180.624704623649,-0.352717148169272,0.16370012849275,-2.15465407032282,0.0311889144610251,0.674749028268469,"FNDC10","643988"
